time_start,time_end,launched,destroyed,id
2023-05-16 00:00:00,2023-05-16 18:00:00,1,1,225
2023-05-16 00:00:00,2023-05-16 18:00:00,1,1,226
2023-05-17 21:00:00,2023-05-18 05:30:00,2,2,227
2023-05-17 21:00:00,2023-05-18 05:30:00,2,2,228
2023-05-17 21:00:00,2023-05-18 05:30:00,22,21,229
2023-05-17 21:00:00,2023-05-18 05:30:00,6,6,230
2023-05-17 21:00:00,2023-05-18 05:30:00,2,2,231
2023-05-19 00:00:00,2023-05-19 08:00:00,6,3,232
2023-05-19 00:00:00,2023-05-19 08:00:00,22,16,233
2023-05-19 00:00:00,2023-05-19 00:00:00,2,2,234
2023-05-19 00:00:00,2023-05-19 00:00:00,1,1,235
2023-05-20 00:00:00,2023-05-20 08:00:00,18,18,236
2023-05-20 00:00:00,2023-05-20 18:00:00,3,3,237
2023-05-20 00:00:00,2023-05-20 18:00:00,1,1,238
2023-05-20 00:00:00,2023-05-20 18:00:00,1,1,239
2023-05-20 21:00:00,2023-05-20 23:59:00,4,4,240
2023-05-21 00:00:00,2023-05-21 18:00:00,1,1,241
2023-05-21 00:00:00,2023-05-21 18:00:00,1,1,242
2023-05-21 00:00:00,2023-05-21 18:00:00,1,1,243
2023-05-22 02:30:00,2023-05-22 05:30:00,20,20,244
2023-05-22 02:30:00,2023-05-22 05:30:00,4,4,245
2023-05-22 02:30:00,2023-05-22 05:30:00,5,0,246
2023-05-22 02:30:00,2023-05-22 05:30:00,2,0,247
2023-05-22 02:30:00,2023-05-22 05:30:00,5,0,248
2023-05-22 00:00:00,2023-05-22 00:00:00,2,2,249
2023-05-23 00:00:00,2023-05-23 08:00:00,6,6,250
2023-05-25 00:00:00,2023-05-25 08:00:00,36,36,251
2023-05-25 22:00:00,2023-05-26 05:00:00,31,23,252
2023-05-25 22:00:00,2023-05-26 05:00:00,7,0,253
2023-05-25 22:00:00,2023-05-26 05:00:00,10,10,254
2023-05-25 22:00:00,2023-05-26 05:00:00,1,1,255
2023-05-25 22:00:00,2023-05-26 05:00:00,1,1,256
2023-05-28 00:00:00,2023-05-28 08:00:00,54,52,257
2023-05-29 00:00:00,2023-05-29 05:00:00,40,37,258
2023-05-29 00:00:00,2023-05-29 05:00:00,35,29,259
2023-05-29 00:00:00,2023-05-29 05:00:00,1,1,260
2023-05-29 00:00:00,2023-05-29 11:30:00,11,11,261
2023-05-29 23:30:00,2023-05-30 04:30:00,31,29,262
2023-05-31 00:00:00,2023-05-31 00:00:00,2,2,263
2023-05-31 00:00:00,2023-05-31 00:00:00,2,2,264
2023-05-31 00:00:00,2023-05-31 00:00:00,1,1,265
2023-06-01 02:30:00,2023-06-01 06:00:00,7,7,266
2023-06-01 02:30:00,2023-06-01 06:00:00,3,3,267
2023-06-01 00:00:00,2023-06-01 23:00:00,21,21,268
2023-06-02 02:00:00,2023-06-02 04:30:00,15,15,269
2023-06-04 01:00:00,2023-06-04 04:00:00,6,4,270
2023-06-04 01:00:00,2023-06-04 04:00:00,5,3,271
2023-06-06 00:30:00,2023-06-06 04:00:00,35,35,272
