id,place,number,city,Oblast,Country,latitude,longitude
694,Dnipropetrovsk oblast,3,,Dnipropetrovsk Oblast,Ukraine,48.662589,34.9501715
574,Zaporizhzhia oblast,1,,,,47.9611068,30.601522
595,Zaporizhzhia oblast,2,,,,47.9611068,30.601522
607,Zaporizhzhia oblast,4,,,,47.9611068,30.601522
617,Zaporizhzhia oblast,1,,,,47.9611068,30.601522
684,Zaporizhzhia oblast,3,,,,47.9611068,30.601522
591,Khmelnytskyi oblast,3,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
595,Khmelnytskyi oblast,2,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
597,Khmelnytskyi oblast,2,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
600,Khmelnytskyi oblast,2,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
605,Khmelnytskyi oblast,2,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
607,Khmelnytskyi oblast,1,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
611,Khmelnytskyi oblast,1,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
613,Khmelnytskyi oblast,1,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
617,Khmelnytskyi oblast,1,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
628,Khmelnytskyi oblast,2,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
631,Khmelnytskyi oblast,2,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
663,Khmelnytskyi oblast,10,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
689,Khmelnytskyi oblast,3,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
691,Khmelnytskyi oblast,1,,Khmelnytskyi Oblast,Ukraine,49.268624,27.0635998
632,Kherson,1,,Kherson Oblast,Ukraine,46.5421715,33.4079326
632,Zaporizhzhia oblast ,3,,,,47.9611068,30.601522
663,Dnipropetrovsk oblast and Kharkiv oblast,6,,,,,
689,Sumy oblast,2,,Sumy Oblast,Ukraine,50.7696518,34.3289305
