target,id,city,Oblast,Country,latitude,longitude
Ukraine,279,,,Ukraine,49.4871968,31.2718321
Ukraine,280,,,Ukraine,49.4871968,31.2718321
Ukraine,281,,,Ukraine,49.4871968,31.2718321
Ukraine,283,,,Ukraine,49.4871968,31.2718321
Ukraine,284,,,Ukraine,49.4871968,31.2718321
Ukraine,289,,,Ukraine,49.4871968,31.2718321
Ukraine,299,,,Ukraine,49.4871968,31.2718321
Ukraine,300,,,Ukraine,49.4871968,31.2718321
Ukraine,301,,,Ukraine,49.4871968,31.2718321
Ukraine,302,,,Ukraine,49.4871968,31.2718321
Ukraine,303,,,Ukraine,49.4871968,31.2718321
Ukraine,304,,,Ukraine,49.4871968,31.2718321
Ukraine,305,,,Ukraine,49.4871968,31.2718321
Ukraine,307,,,Ukraine,49.4871968,31.2718321
Ukraine,311,,,Ukraine,49.4871968,31.2718321
Ukraine,312,,,Ukraine,49.4871968,31.2718321
Ukraine,314,,,Ukraine,49.4871968,31.2718321
Ukraine,315,,,Ukraine,49.4871968,31.2718321
Ukraine,316,,,Ukraine,49.4871968,31.2718321
Ukraine,317,,,Ukraine,49.4871968,31.2718321
Ukraine,318,,,Ukraine,49.4871968,31.2718321
Ukraine,320,,,Ukraine,49.4871968,31.2718321
Ukraine,322,,,Ukraine,49.4871968,31.2718321
Ukraine,323,,,Ukraine,49.4871968,31.2718321
Ukraine,324,,,Ukraine,49.4871968,31.2718321
Ukraine,330,,,Ukraine,49.4871968,31.2718321
Ukraine,332,,,Ukraine,49.4871968,31.2718321
Ukraine,333,,,Ukraine,49.4871968,31.2718321
Ukraine,334,,,Ukraine,49.4871968,31.2718321
Ukraine,335,,,Ukraine,49.4871968,31.2718321
Ukraine,336,,,Ukraine,49.4871968,31.2718321
Ukraine,338,,,Ukraine,49.4871968,31.2718321
Ukraine,339,,,Ukraine,49.4871968,31.2718321
Ukraine,340,,,Ukraine,49.4871968,31.2718321
Ukraine,341,,,Ukraine,49.4871968,31.2718321
Ukraine,342,,,Ukraine,49.4871968,31.2718321
Ukraine,343,,,Ukraine,49.4871968,31.2718321
Ukraine,344,,,Ukraine,49.4871968,31.2718321
Ukraine,345,,,Ukraine,49.4871968,31.2718321
Ukraine,346,,,Ukraine,49.4871968,31.2718321
Ukraine,347,,,Ukraine,49.4871968,31.2718321
Ukraine,348,,,Ukraine,49.4871968,31.2718321
Ukraine,349,,,Ukraine,49.4871968,31.2718321
Ukraine,350,,,Ukraine,49.4871968,31.2718321
Ukraine,351,,,Ukraine,49.4871968,31.2718321
Ukraine,352,,,Ukraine,49.4871968,31.2718321
Ukraine,353,,,Ukraine,49.4871968,31.2718321
Ukraine,354,,,Ukraine,49.4871968,31.2718321
Ukraine,357,,,Ukraine,49.4871968,31.2718321
Ukraine,362,,,Ukraine,49.4871968,31.2718321
Ukraine,363,,,Ukraine,49.4871968,31.2718321
Ukraine,371,,,Ukraine,49.4871968,31.2718321
Ukraine,374,,,Ukraine,49.4871968,31.2718321
Ukraine,375,,,Ukraine,49.4871968,31.2718321
Ukraine,378,,,Ukraine,49.4871968,31.2718321
Ukraine,379,,,Ukraine,49.4871968,31.2718321
Ukraine,380,,,Ukraine,49.4871968,31.2718321
Ukraine,381,,,Ukraine,49.4871968,31.2718321
Ukraine,382,,,Ukraine,49.4871968,31.2718321
Ukraine,383,,,Ukraine,49.4871968,31.2718321
Ukraine,384,,,Ukraine,49.4871968,31.2718321
Ukraine,385,,,Ukraine,49.4871968,31.2718321
Ukraine,390,,,Ukraine,49.4871968,31.2718321
Ukraine,391,,,Ukraine,49.4871968,31.2718321
Ukraine,392,,,Ukraine,49.4871968,31.2718321
Ukraine,396,,,Ukraine,49.4871968,31.2718321
Ukraine,397,,,Ukraine,49.4871968,31.2718321
Ukraine,398,,,Ukraine,49.4871968,31.2718321
Ukraine,406,,,Ukraine,49.4871968,31.2718321
Ukraine,408,,,Ukraine,49.4871968,31.2718321
Ukraine,409,,,Ukraine,49.4871968,31.2718321
Ukraine,410,,,Ukraine,49.4871968,31.2718321
Ukraine,414,,,Ukraine,49.4871968,31.2718321
Ukraine,415,,,Ukraine,49.4871968,31.2718321
Ukraine,416,,,Ukraine,49.4871968,31.2718321
Ukraine,429,,,Ukraine,49.4871968,31.2718321
Ukraine,433,,,Ukraine,49.4871968,31.2718321
Ukraine,437,,,Ukraine,49.4871968,31.2718321
Ukraine,438,,,Ukraine,49.4871968,31.2718321
Ukraine,442,,,Ukraine,49.4871968,31.2718321
Ukraine,443,,,Ukraine,49.4871968,31.2718321
Ukraine,444,,,Ukraine,49.4871968,31.2718321
Ukraine,455,,,Ukraine,49.4871968,31.2718321
Ukraine,457,,,Ukraine,49.4871968,31.2718321
Ukraine,459,,,Ukraine,49.4871968,31.2718321
Ukraine,464,,,Ukraine,49.4871968,31.2718321
Ukraine,466,,,Ukraine,49.4871968,31.2718321
Ukraine,467,,,Ukraine,49.4871968,31.2718321
Ukraine,468,,,Ukraine,49.4871968,31.2718321
Ukraine,479,,,Ukraine,49.4871968,31.2718321
Ukraine,488,,,Ukraine,49.4871968,31.2718321
Ukraine,495,,,Ukraine,49.4871968,31.2718321
Ukraine,496,,,Ukraine,49.4871968,31.2718321
Ukraine,501,,,Ukraine,49.4871968,31.2718321
Ukraine,502,,,Ukraine,49.4871968,31.2718321
Ukraine,507,,,Ukraine,49.4871968,31.2718321
Ukraine,509,,,Ukraine,49.4871968,31.2718321
Ukraine,510,,,Ukraine,49.4871968,31.2718321
Ukraine,511,,,Ukraine,49.4871968,31.2718321
Ukraine,515,,,Ukraine,49.4871968,31.2718321
Ukraine,516,,,Ukraine,49.4871968,31.2718321
Ukraine,519,,,Ukraine,49.4871968,31.2718321
Ukraine,520,,,Ukraine,49.4871968,31.2718321
Ukraine,521,,,Ukraine,49.4871968,31.2718321
Ukraine,522,,,Ukraine,49.4871968,31.2718321
Ukraine,528,,,Ukraine,49.4871968,31.2718321
Ukraine,529,,,Ukraine,49.4871968,31.2718321
Ukraine,530,,,Ukraine,49.4871968,31.2718321
Ukraine,532,,,Ukraine,49.4871968,31.2718321
Ukraine,533,,,Ukraine,49.4871968,31.2718321
Ukraine,534,,,Ukraine,49.4871968,31.2718321
Ukraine,536,,,Ukraine,49.4871968,31.2718321
Ukraine,540,,,Ukraine,49.4871968,31.2718321
Ukraine,543,,,Ukraine,49.4871968,31.2718321
Ukraine,547,,,Ukraine,49.4871968,31.2718321
Ukraine,548,,,Ukraine,49.4871968,31.2718321
Ukraine,553,,,Ukraine,49.4871968,31.2718321
Ukraine,555,,,Ukraine,49.4871968,31.2718321
Ukraine,563,,,Ukraine,49.4871968,31.2718321
Ukraine,565,,,Ukraine,49.4871968,31.2718321
Ukraine,566,,,Ukraine,49.4871968,31.2718321
Ukraine,567,,,Ukraine,49.4871968,31.2718321
Ukraine,574,,,Ukraine,49.4871968,31.2718321
Ukraine,585,,,Ukraine,49.4871968,31.2718321
Ukraine,592,,,Ukraine,49.4871968,31.2718321
Ukraine,593,,,Ukraine,49.4871968,31.2718321
Ukraine,594,,,Ukraine,49.4871968,31.2718321
Ukraine,595,,,Ukraine,49.4871968,31.2718321
Ukraine,597,,,Ukraine,49.4871968,31.2718321
Ukraine,600,,,Ukraine,49.4871968,31.2718321
Ukraine,603,,,Ukraine,49.4871968,31.2718321
Ukraine,604,,,Ukraine,49.4871968,31.2718321
Ukraine,605,,,Ukraine,49.4871968,31.2718321
Ukraine,607,,,Ukraine,49.4871968,31.2718321
Ukraine,609,,,Ukraine,49.4871968,31.2718321
Ukraine,611,,,Ukraine,49.4871968,31.2718321
Ukraine,613,,,Ukraine,49.4871968,31.2718321
Ukraine,617,,,Ukraine,49.4871968,31.2718321
Ukraine,621,,,Ukraine,49.4871968,31.2718321
Ukraine,624,,,Ukraine,49.4871968,31.2718321
Ukraine,625,,,Ukraine,49.4871968,31.2718321
Ukraine,626,,,Ukraine,49.4871968,31.2718321
Ukraine,627,,,Ukraine,49.4871968,31.2718321
Ukraine,631,,,Ukraine,49.4871968,31.2718321
Ukraine,632,,,Ukraine,49.4871968,31.2718321
Ukraine,634,,,Ukraine,49.4871968,31.2718321
Ukraine,635,,,Ukraine,49.4871968,31.2718321
Ukraine,636,,,Ukraine,49.4871968,31.2718321
Ukraine,640,,,Ukraine,49.4871968,31.2718321
Ukraine,641,,,Ukraine,49.4871968,31.2718321
Ukraine,642,,,Ukraine,49.4871968,31.2718321
Ukraine,643,,,Ukraine,49.4871968,31.2718321
Ukraine,644,,,Ukraine,49.4871968,31.2718321
Ukraine,645,,,Ukraine,49.4871968,31.2718321
Ukraine,654,,,Ukraine,49.4871968,31.2718321
Ukraine,661,,,Ukraine,49.4871968,31.2718321
Ukraine,662,,,Ukraine,49.4871968,31.2718321
Ukraine,663,,,Ukraine,49.4871968,31.2718321
Ukraine,664,,,Ukraine,49.4871968,31.2718321
Ukraine,665,,,Ukraine,49.4871968,31.2718321
Ukraine,666,,,Ukraine,49.4871968,31.2718321
Ukraine,670,,,Ukraine,49.4871968,31.2718321
Ukraine,671,,,Ukraine,49.4871968,31.2718321
Ukraine,673,,,Ukraine,49.4871968,31.2718321
Ukraine,674,,,Ukraine,49.4871968,31.2718321
Ukraine,675,,,Ukraine,49.4871968,31.2718321
Ukraine,676,,,Ukraine,49.4871968,31.2718321
Ukraine,684,,,Ukraine,49.4871968,31.2718321
Ukraine,691,,,Ukraine,49.4871968,31.2718321
Ukraine,694,,,Ukraine,49.4871968,31.2718321
Ukraine,697,,,Ukraine,49.4871968,31.2718321
Ukraine,703,,,Ukraine,49.4871968,31.2718321
Odesa oblast,3,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,7,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,16,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,26,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,31,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,36,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,54,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,86,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,110,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,155,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,157,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,159,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,164,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,170,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,190,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,197,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,285,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,355,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,356,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,358,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,359,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,360,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,361,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,364,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,365,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,366,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,367,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,368,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,369,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,373,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,377,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,388,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,389,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,394,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,399,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,401,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,402,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,412,,Odesa Oblast,Ukraine,46.1147226,29.9567193
Odesa oblast,413,,Odesa Oblast,Ukraine,46.1147226,29.9567193
